Date,NSE_NO_OF_TRADE,BSE_No_of_Trades
2024-01-01,68023220.0,12123314.0
2024-01-02,116950328.0,965336.0
2024-01-03,173842062.0,1270066.0
2024-01-04,94339709.0,3742048.0
2024-01-05,56735008.0,38267544.0
2024-01-08,96947988.0,19124261.0
2024-01-09,138923108.0,1378845.0
2024-01-10,167961367.0,1628739.0
2024-01-11,104749192.0,3953559.0
2024-01-12,51021885.0,49553270.0
2024-01-15,80024286.0,19115350.0
2024-01-16,110071589.0,883005.0
2024-01-17,175280601.0,1448463.0
2024-01-18,143332165.0,5375955.0
2024-01-19,51454869.0,47984721.0
2024-01-22,,
2024-01-23,152535982.0,1563810.0
2024-01-24,121524544.0,4167692.0
2024-01-25,180937269.0,21264176.0
2024-01-26,,
2024-01-29,91755780.0,20580973.0
2024-01-30,118455864.0,668145.0
2024-01-31,180966504.0,766623.0
2024-02-01,131954886.0,4733817.0
2024-02-02,65415438.0,76466358.0
2024-02-05,95839746.0,26076574.0
2024-02-06,117873338.0,832236.0
2024-02-07,158982335.0,1370265.0
2024-02-08,133566232.0,5676283.0
2024-02-09,61563641.0,57713361.0
2024-02-12,94660197.0,32395197.0
2024-02-13,152197496.0,751246.0
2024-02-14,232438044.0,1393361.0
2024-02-15,125574506.0,4002343.0
2024-02-16,50425270.0,49209789.0
2024-02-19,73316517.0,27827737.0
2024-02-20,127561151.0,538356.0
2024-02-21,197882500.0,1264036.0
2024-02-22,138423617.0,5007301.0
2024-02-23,51535103.0,56408646.0
2024-02-26,89358275.0,23189365.0
2024-02-27,113185881.0,542725.0
2024-02-28,102674933.0,1491538.0
2024-02-29,188751201.0,3301588.0
2024-03-01,47954707.0,61903355.0
2024-03-04,71172402.0,29718773.0
2024-03-05,118820299.0,1376022.0
2024-03-06,189093655.0,2995110.0
2024-03-07,87592528.0,26320124.0
2024-03-08,,
2024-03-11,72113006.0,31869592.0
2024-03-12,137412255.0,828620.0
2024-03-13,179649518.0,2661848.0
2024-03-14,125169601.0,4197786.0
2024-03-15,57039608.0,51552645.0
2024-03-18,93637178.0,34901393.0
2024-03-19,114930760.0,861289.0
2024-03-20,197211397.0,1657571.0
2024-03-21,114553383.0,4152014.0
2024-03-22,60371357.0,65189122.0
2024-03-25,,
2024-03-26,103047961.0,922689.0
2024-03-27,135398813.0,2540277.0
2024-03-28,136221148.0,41132390.0
2024-03-29,,
2024-04-01,65405436.0,26355837.0
2024-04-02,105355630.0,756069.0
2024-04-03,160242800.0,1784925.0
2024-04-04,133184177.0,5152333.0
2024-04-05,46002565.0,50938316.0
2024-04-08,77649193.0,22462261.0
2024-04-09,110091640.0,1302055.0
2024-04-10,144682585.0,2115126.0
2024-04-11,,
2024-04-12,47368133.0,64355981.0
2024-04-15,81220264.0,24645725.0
2024-04-16,146088640.0,1014122.0
2024-04-17,,
2024-04-18,143824511.0,5593671.0
2024-04-19,56002528.0,70032622.0
2024-04-22,71359636.0,28111004.0
2024-04-23,94769659.0,791987.0
2024-04-24,123564560.0,1148041.0
2024-04-25,118977790.0,4539903.0
2024-04-26,49339647.0,58104246.0
2024-04-29,85134918.0,43486652.0
2024-04-30,193248329.0,1244083.0
2024-05-01,,
2024-05-02,139042163.0,4103856.0
2024-05-03,65035367.0,84440852.0
2024-05-06,82229853.0,40063067.0
2024-05-07,132234702.0,1094028.0
2024-05-08,165582901.0,1777812.0
2024-05-09,153976510.0,4865444.0
2024-05-10,54631450.0,64455501.0
2024-05-13,110233031.0,37560485.0
2024-05-14,114136937.0,949034.0
2024-05-15,144405693.0,1428167.0
2024-05-16,183397348.0,6179190.0
2024-05-17,57348789.0,68783350.0
2024-05-20,,
2024-05-21,97459402.0,748902.0
2024-05-22,154402177.0,1087209.0
2024-05-23,141126273.0,4681640.0
2024-05-24,48044384.0,61016943.0
2024-05-27,102327274.0,37619024.0
2024-05-28,113689854.0,564905.0
2024-05-29,149343192.0,1153890.0
2024-05-30,127033090.0,5023937.0
